curve,tag,updates_million,value
PIRL lineage to mixedHJB 15M,Loss/HJB,2.1700000,2.29395211
PIRL lineage to mixedHJB 15M,Loss/HJB,2.1900000,2.01304539
PIRL lineage to mixedHJB 15M,Loss/HJB,2.2100000,1.56746799
PIRL lineage to mixedHJB 15M,Loss/HJB,2.2300000,1.2634617
PIRL lineage to mixedHJB 15M,Loss/HJB,2.2500000,0.963855612
PIRL lineage to mixedHJB 15M,Loss/HJB,2.2700000,0.99856056
PIRL lineage to mixedHJB 15M,Loss/HJB,2.2900000,1.22268312
PIRL lineage to mixedHJB 15M,Loss/HJB,2.3100000,1.3995636
PIRL lineage to mixedHJB 15M,Loss/HJB,2.3300000,1.47958415
PIRL lineage to mixedHJB 15M,Loss/HJB,2.3500000,1.63607485
PIRL lineage to mixedHJB 15M,Loss/HJB,2.3700000,2.03024409
PIRL lineage to mixedHJB 15M,Loss/HJB,2.3900000,1.956762
PIRL lineage to mixedHJB 15M,Loss/HJB,2.4100000,2.37133205
PIRL lineage to mixedHJB 15M,Loss/HJB,2.4300000,2.78859506
PIRL lineage to mixedHJB 15M,Loss/HJB,2.4500000,2.59066439
PIRL lineage to mixedHJB 15M,Loss/HJB,2.4700000,2.36640739
PIRL lineage to mixedHJB 15M,Loss/HJB,2.4900000,2.65849676
PIRL lineage to mixedHJB 15M,Loss/HJB,2.5100000,2.31185598
PIRL lineage to mixedHJB 15M,Loss/HJB,2.5300000,2.13848715
PIRL lineage to mixedHJB 15M,Loss/HJB,2.5500000,2.39201145
PIRL lineage to mixedHJB 15M,Loss/HJB,2.5700000,2.24881458
PIRL lineage to mixedHJB 15M,Loss/HJB,2.5900000,1.9137152
PIRL lineage to mixedHJB 15M,Loss/HJB,2.6100000,2.16753376
PIRL lineage to mixedHJB 15M,Loss/HJB,2.6300000,1.9926945
PIRL lineage to mixedHJB 15M,Loss/HJB,2.6500000,2.19949582
PIRL lineage to mixedHJB 15M,Loss/HJB,2.6700000,2.2875113
PIRL lineage to mixedHJB 15M,Loss/HJB,2.6900000,2.76671875
PIRL lineage to mixedHJB 15M,Loss/HJB,2.7100000,2.56804578
PIRL lineage to mixedHJB 15M,Loss/HJB,2.7300000,2.76602895
PIRL lineage to mixedHJB 15M,Loss/HJB,2.7500000,2.72950175
PIRL lineage to mixedHJB 15M,Loss/HJB,2.7700000,2.75759478
PIRL lineage to mixedHJB 15M,Loss/HJB,2.7900000,2.67437358
PIRL lineage to mixedHJB 15M,Loss/HJB,2.8100000,2.60622311
PIRL lineage to mixedHJB 15M,Loss/HJB,2.8300000,2.4693871
PIRL lineage to mixedHJB 15M,Loss/HJB,2.8500000,2.45839596
PIRL lineage to mixedHJB 15M,Loss/HJB,2.8700000,2.50873027
PIRL lineage to mixedHJB 15M,Loss/HJB,2.8900000,2.3026897
PIRL lineage to mixedHJB 15M,Loss/HJB,2.9100000,2.76553569
PIRL lineage to mixedHJB 15M,Loss/HJB,2.9300000,2.79368339
PIRL lineage to mixedHJB 15M,Loss/HJB,2.9500000,2.89210877
PIRL lineage to mixedHJB 15M,Loss/HJB,2.9700000,2.77291021
PIRL lineage to mixedHJB 15M,Loss/HJB,2.9900000,3.72249584
PIRL lineage to mixedHJB 15M,Loss/HJB,3.0100000,3.21448331
PIRL lineage to mixedHJB 15M,Loss/HJB,3.0300000,3.16870317
PIRL lineage to mixedHJB 15M,Loss/HJB,3.0500000,3.18752928
PIRL lineage to mixedHJB 15M,Loss/HJB,3.0700000,3.94888544
PIRL lineage to mixedHJB 15M,Loss/HJB,3.0900000,3.29645128
PIRL lineage to mixedHJB 15M,Loss/HJB,3.1100000,4.14981246
PIRL lineage to mixedHJB 15M,Loss/HJB,3.1300000,4.49273958
PIRL lineage to mixedHJB 15M,Loss/HJB,3.1500000,4.81517982
PIRL lineage to mixedHJB 15M,Loss/HJB,3.1700000,4.84443235
PIRL lineage to mixedHJB 15M,Loss/HJB,3.1900000,4.70189767
PIRL lineage to mixedHJB 15M,Loss/HJB,3.2100000,4.20769434
PIRL lineage to mixedHJB 15M,Loss/HJB,3.2300000,4.20955987
PIRL lineage to mixedHJB 15M,Loss/HJB,3.2500000,3.5367022
PIRL lineage to mixedHJB 15M,Loss/HJB,3.2700000,2.95078797
PIRL lineage to mixedHJB 15M,Loss/HJB,3.2900000,2.91821938
PIRL lineage to mixedHJB 15M,Loss/HJB,3.3100000,3.05712075
PIRL lineage to mixedHJB 15M,Loss/HJB,3.3300000,2.82771263
